"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"ENSG00000047230",297.135771424475,-0.544138264093645,0.111501565248647,-4.88009529624293,1.06034591806284e-06,3.39651774405784e-06,"CTPS2","56474","CTP synthase 2"
"ENSG00000123552",233.479840326734,0.600868519719553,0.123174996828837,4.87816955704504,1.07074862447104e-06,3.42909457354503e-06,"USP45","85015","ubiquitin specific peptidase 45"
"ENSG00000174130",77.8059727461856,-1.01665776601528,0.208419282456507,-4.87794485247515,1.0719688423652e-06,3.43225652808566e-06,"TLR6","10333","toll like receptor 6"
"ENSG00000177679",105.180315875559,0.907007710458643,0.18594651466545,4.87778817522074,1.07282044186895e-06,3.43423711387155e-06,"SRRM3","222183","serine/arginine repetitive matrix 3"
"ENSG00000181004",89.8392665373865,0.957009029089714,0.196199553252647,4.87773296740064,1.07312067213219e-06,3.43445221843305e-06,"BBS12","166379","Bardet-Biedl syndrome 12"
"ENSG00000100461",723.750917907909,0.357710497747965,0.0733666746102897,4.8756536894722,1.08448722499127e-06,3.47007657879316e-06,"RBM23","55147","RNA binding motif protein 23"
"ENSG00000119977",833.630501763358,-0.338960596247075,0.069522651201674,-4.8755418613684,1.08510181493554e-06,3.47128946136749e-06,"TCTN3","26123","tectonic family member 3"
"ENSG00000250479",65.4419195037447,-1.14128160904803,0.234100191368329,-4.87518443439611,1.08706842681436e-06,3.47682605781034e-06,"CHCHD10","400916","coiled-coil-helix-coiled-coil-helix domain containing 10"
"ENSG00000132612",842.228402579463,-0.329833004222114,0.0676588259255852,-4.8749442472573,1.08839189563216e-06,3.48030370098217e-06,"VPS4A","27183","vacuolar protein sorting 4 homolog A"
"ENSG00000075240",223.814623543526,0.608474273115018,0.124849045584131,4.87367981283439,1.0953847356011e-06,3.50190460591952e-06,"GRAMD4","23151","GRAM domain containing 4"
"ENSG00000110848",14.3990270131008,5.32288134950554,1.09228443132167,4.87316416573366,1.09824886907998e-06,3.51029968173949e-06,"CD69","969","CD69 molecule"
"ENSG00000146410",31.1484108175171,-1.72673940509972,0.354349543011349,-4.87298329899192,1.09925518965447e-06,3.51275433328872e-06,"MTFR2","113115","mitochondrial fission regulator 2"
"ENSG00000124635",58.0660604494671,1.18291400271483,0.242855084720086,4.8708636431403,1.1111150313885e-06,3.54988366195615e-06,"HIST1H2BJ","8970","histone cluster 1 H2B family member j"
"ENSG00000138660",241.046747749416,0.591508699540408,0.121440623565426,4.87076467638304,1.11167176559233e-06,3.55089260539658e-06,"AP1AR","55435","adaptor related protein complex 1 associated regulatory protein"
"ENSG00000198642",1337.08036956832,0.288247587245816,0.0592308801596735,4.8665085926254,1.13586987323121e-06,3.62739982484973e-06,"KLHL9","55958","kelch like family member 9"
"ENSG00000061794",701.429077882975,-0.387969553602659,0.0797238866583479,-4.86641544792315,1.13640507677923e-06,3.62832279496802e-06,"MRPS35","60488","mitochondrial ribosomal protein S35"
"ENSG00000109919",1560.37280310314,-0.268391725380225,0.0551603736196368,-4.86566184687115,1.14074415321753e-06,3.64138776914011e-06,"MTCH2","23788","mitochondrial carrier 2"
"ENSG00000070778",819.211362378992,-0.340589591306728,0.0700004853255319,-4.86553185628417,1.14149422199098e-06,3.64299303674817e-06,"PTPN21","11099","protein tyrosine phosphatase, non-receptor type 21"
"ENSG00000152270",60.7307121839172,1.1686318883204,0.240190146714964,4.86544474993483,1.14199710661944e-06,3.64380891044755e-06,"PDE3B","5140","phosphodiesterase 3B"
"ENSG00000101844",300.446198942524,0.534524468083391,0.109884185064752,4.86443492999843,1.147842608051e-06,3.66166760983887e-06,"ATG4A","115201","autophagy related 4A cysteine peptidase"
"ENSG00000155256",480.035013961847,0.426109202789227,0.0876006662780313,4.86422330895088,1.14907125342552e-06,3.66479379636125e-06,"ZFYVE27","118813","zinc finger FYVE-type containing 27"
"ENSG00000198924",90.4942335884302,-0.933233888978173,0.191884196320342,-4.86352657943848,1.15312532583713e-06,3.67692796455813e-06,"DCLRE1A","9937","DNA cross-link repair 1A"
"ENSG00000119414",1051.59942045488,0.319881303890959,0.0657795442085194,4.86292977155549,1.15660892282296e-06,3.68723822292123e-06,"PPP6C","5537","protein phosphatase 6 catalytic subunit"
"ENSG00000164306",69.5291712802924,-1.06555985812545,0.219131636902387,-4.86264727990923,1.15826136922543e-06,3.69170762535561e-06,"PRIMPOL","201973","primase and DNA directed polymerase"
"ENSG00000070610",945.15982769719,0.327713573916111,0.0673974283707908,4.86240472133708,1.15968203788011e-06,3.69543651335721e-06,"GBA2","57704","glucosylceramidase beta 2"
"ENSG00000138642",39.1099482349515,1.46563064583917,0.301460899491591,4.86176034209056,1.16346432350781e-06,3.70668767830915e-06,"HERC6","55008","HECT and RLD domain containing E3 ubiquitin protein ligase family member 6"
"ENSG00000146802",436.462556306188,0.448393698325522,0.0922317283155967,4.86159921877661,1.16441191555819e-06,3.70890486524673e-06,"TMEM168","64418","transmembrane protein 168"
"ENSG00000167654",18.2323327323599,2.36711148178944,0.487187484146253,4.8587280232323,1.18142291690818e-06,3.76227548603993e-06,"ATCAY","85300","ATCAY, caytaxin"
"ENSG00000135953",147.546403463509,0.745888798138058,0.153526334323266,4.85837691250747,1.18351948052196e-06,3.76813784919694e-06,"MFSD9","84804","major facilitator superfamily domain containing 9"
"ENSG00000204569",1309.12633877827,0.391748232965621,0.0806384432626389,4.85808278428317,1.18527854335712e-06,3.77292336328233e-06,"PPP1R10","5514","protein phosphatase 1 regulatory subunit 10"
"ENSG00000162434",4848.53235014694,0.198733709925982,0.0409102112862393,4.85780209091291,1.18695960328098e-06,3.77745856902505e-06,"JAK1","3716","Janus kinase 1"
"ENSG00000096717",471.203950665039,0.419572958127533,0.0863831378280913,4.85711643124742,1.19107563910935e-06,3.78973937158755e-06,"SIRT1","23411","sirtuin 1"
"ENSG00000198015",779.705809020581,0.363402404453402,0.0748282632983983,4.85648588427391,1.19487295021375e-06,3.80100097998062e-06,"MRPL42","28977","mitochondrial ribosomal protein L42"
"ENSG00000147383",478.290317718524,0.441315390159225,0.0908984973346742,4.85503504567705,1.20365454536179e-06,3.82810977331507e-06,"NSDHL","50814","NAD(P) dependent steroid dehydrogenase-like"
"ENSG00000156471",2362.67551887037,0.23685654051963,0.0487867518964856,4.85493563953973,1.20425849555419e-06,3.82920425188298e-06,"PTDSS1","9791","phosphatidylserine synthase 1"
"ENSG00000105989",21.5386085061283,-2.11536945969924,0.435962598812977,-4.85218104823417,1.22111069405776e-06,3.88113430905035e-06,"WNT2","7472","Wnt family member 2"
"ENSG00000107779",792.431922830376,-0.344681943052494,0.0710365112842252,-4.85218005249979,1.22111682664313e-06,3.88113430905035e-06,"BMPR1A","657","bone morphogenetic protein receptor type 1A"
"ENSG00000204536",140.634107619761,-0.738545323375467,0.152215777733769,-4.85196301179245,1.22245425658889e-06,3.88454739836288e-06,"CCHCR1","54535","coiled-coil alpha-helical rod protein 1"
"ENSG00000185745",36.2479074641539,-1.50116919250654,0.309408006070496,-4.85174644176631,1.22379019071489e-06,3.88795426401294e-06,"IFIT1","3434","interferon induced protein with tetratricopeptide repeats 1"
"ENSG00000114744",349.82741009221,-0.510771386198994,0.105319504540776,-4.84973214055753,1.23628307867686e-06,3.92619984550017e-06,"COMMD2","51122","COMM domain containing 2"
"ENSG00000096968",309.373667392497,0.535810627292421,0.110482805880456,4.84971958326415,1.23636134366714e-06,3.92619984550017e-06,"JAK2","3717","Janus kinase 2"
"ENSG00000162419",336.64645875774,0.511858497944742,0.105547044168315,4.84957681172471,1.23725152138971e-06,3.92818029346006e-06,"GMEB1","10691","glucocorticoid modulatory element binding protein 1"
"ENSG00000125753",2506.50497245048,-0.25665291002563,0.0529254361941491,-4.84933008552139,1.2387913079991e-06,3.9322219033579e-06,"VASP","7408","vasodilator stimulated phosphoprotein"
"ENSG00000172239",1206.32001665852,0.297960893513468,0.0614447422818489,4.84924962573221,1.23929384572116e-06,3.93297000392732e-06,"PAIP1","10605","poly(A) binding protein interacting protein 1"
"ENSG00000071462",788.106232272039,0.350394057869357,0.0723170894400621,4.84524557863699,1.26455165023988e-06,4.01226312620784e-06,"BUD23","114049","BUD23, rRNA methyltransferase and ribosome maturation factor"
"ENSG00000175931",684.815300133896,-0.37459443150346,0.0773383212876479,-4.84358110270087,1.27519634700885e-06,4.04516654374009e-06,"UBE2O","63893","ubiquitin conjugating enzyme E2 O"
"ENSG00000163001",535.542319368874,0.414883935329711,0.08567481884523,4.84254231198541,1.28188327201009e-06,4.06550369332574e-06,"CFAP36","112942","cilia and flagella associated protein 36"
"ENSG00000132481",66.1224731033568,-1.10986895856537,0.229276404617257,-4.84074652347299,1.2935227907382e-06,4.10153590574431e-06,"TRIM47","91107","tripartite motif containing 47"
"ENSG00000010072",258.835015785145,0.570168015027509,0.117805076835157,4.83992736429636,1.298865923327e-06,4.11759216562559e-06,"SPRTN","83932","SprT-like N-terminal domain"
"ENSG00000173153",335.73356490365,-0.507682244922373,0.104962082004987,-4.83681568833833,1.31935660452838e-06,4.18165110484715e-06,"ESRRA","2101","estrogen related receptor alpha"
"ENSG00000112992",1309.29135343404,-0.294886476523855,0.0609915104769531,-4.83487741519837,1.33227709184929e-06,4.2216942119275e-06,"NNT","23530","nicotinamide nucleotide transhydrogenase"
"ENSG00000125734",696.403449379449,0.357111524865793,0.0738678726891248,4.83446337176526,1.33505282818605e-06,4.2295805205946e-06,"GPR108","56927","G protein-coupled receptor 108"
"ENSG00000146007",808.257514761419,-0.34119549332479,0.0705814917876725,-4.83406463483649,1.33773120707885e-06,4.23715506768282e-06,"ZMAT2","153527","zinc finger matrin-type 2"
"ENSG00000051523",1059.50387334999,0.341712263829904,0.0706906544179192,4.83391003582624,1.33877106272703e-06,4.23953758540416e-06,"CYBA","1535","cytochrome b-245 alpha chain"
"ENSG00000152778",292.633425653173,-0.546095388728796,0.113028950708873,-4.83146472920345,1.35532231275824e-06,4.29102905379827e-06,"IFIT5","24138","interferon induced protein with tetratricopeptide repeats 5"
"ENSG00000163516",245.664542614264,0.568299801675188,0.117628741159378,4.83130054843642,1.3564406051916e-06,4.29364725930279e-06,"ANKZF1","55139","ankyrin repeat and zinc finger domain containing 1"
"ENSG00000011198",452.961844116737,0.440029707216947,0.0911024677363447,4.83005255675857,1.36497016946392e-06,4.31914267965352e-06,"ABHD5","51099","abhydrolase domain containing 5"
"ENSG00000115020",1033.87987998248,0.343563240738243,0.0711305702430768,4.83003636220226,1.36508119160172e-06,4.31914267965352e-06,"PIKFYVE","200576","phosphoinositide kinase, FYVE-type zinc finger containing"
"ENSG00000205213",369.809149488779,0.492297463540362,0.101928907006296,4.82981205233518,1.36661984632795e-06,4.32308291375431e-06,"LGR4","55366","leucine rich repeat containing G protein-coupled receptor 4"
"ENSG00000205531",1891.48669712697,0.252120752716737,0.052203784424057,4.82954934203109,1.36842402975039e-06,4.32786123400457e-06,"NAP1L4","4676","nucleosome assembly protein 1 like 4"
"ENSG00000243279",975.317152106762,0.317797751700035,0.0658068232695106,4.82925228586861,1.37046684548398e-06,4.33339205508324e-06,"PRAF2","11230","PRA1 domain family member 2"
"ENSG00000128272",3834.24860066821,-0.226414756598486,0.0468931530575015,-4.8283116369004,1.37695492882787e-06,4.35297334643181e-06,"ATF4","468","activating transcription factor 4"
"ENSG00000239590",7.39906384003076,6.25055134007875,1.29460342273721,4.82815913375469,1.37800959121479e-06,4.35537322653304e-06,"OR1J4","26219","olfactory receptor family 1 subfamily J member 4"
"ENSG00000178913",2059.57731621168,0.243409538376277,0.0504157246856123,4.8280479928466,1.37877869509591e-06,4.35686972734208e-06,"TAF7","6879","TATA-box binding protein associated factor 7"
"ENSG00000124226",1572.40103960977,0.261322764201271,0.0541311224621148,4.827588128884,1.38196538018908e-06,4.36600338118471e-06,"RNF114","55905","ring finger protein 114"
"ENSG00000147650",1005.36436241701,-0.334562392115643,0.0693256769094611,-4.82595204302987,1.393360368943e-06,4.40105981943463e-06,"LRP12","29967","LDL receptor related protein 12"
"ENSG00000136560",533.297608513006,0.419166191996166,0.0868641307850121,4.82553832298856,1.3962561223344e-06,4.40926135225292e-06,"TANK","10010","TRAF family member associated NFKB activator"
"ENSG00000104689",79.3111180579124,1.01928510348882,0.211241735541672,4.82520701165013,1.39857924410454e-06,4.41565143522124e-06,"TNFRSF10A","8797","TNF receptor superfamily member 10a"
"ENSG00000163870",628.198696352393,0.407304477854979,0.0844362631797797,4.82380984800045,1.40841696865541e-06,4.44575910988293e-06,"TPRA1","131601","transmembrane protein adipocyte associated 1"
"ENSG00000166145",41.1941954911536,1.44082372841234,0.29872118942484,4.82330607743801,1.41198041939088e-06,4.45605298093849e-06,"SPINT1","6692","serine peptidase inhibitor, Kunitz type 1"
"ENSG00000250588",99.954740113239,-0.881909032660597,0.182852620000579,-4.82305931770517,1.41372905081285e-06,4.46061630290725e-06,NA,NA,NA
"ENSG00000188064",28.8328056943472,1.76935584683692,0.367122005212558,4.81953089630922,1.43896168248516e-06,4.53925883486009e-06,"WNT7B","7477","Wnt family member 7B"
"ENSG00000171530",1200.66839079656,0.322395910306298,0.0669069675771963,4.81857005302657,1.44590758806529e-06,4.56019388677644e-06,"TBCA","6902","tubulin folding cofactor A"
"ENSG00000177556",509.698779266785,-0.416961077857217,0.0865668417166499,-4.81663728962196,1.45997725065353e-06,4.60316578805047e-06,"ATOX1","475","antioxidant 1 copper chaperone"
"ENSG00000135736",157.465413976328,-0.717502823899376,0.148964194375068,-4.81661265587632,1.46015742021549e-06,4.60316578805047e-06,"CCDC102A","92922","coiled-coil domain containing 102A"
"ENSG00000128973",307.79282872546,-0.559697031995377,0.116205514750234,-4.81644122654903,1.46141183500636e-06,4.60613507791353e-06,"CLN6","54982","CLN6, transmembrane ER protein"
"ENSG00000197122",747.739216211134,0.348862964227698,0.0724400957907021,4.81588214951636,1.46551002241637e-06,4.61806429556819e-06,"SRC","6714","SRC proto-oncogene, non-receptor tyrosine kinase"
"ENSG00000131115",169.608904299231,0.708333186967254,0.147120397338772,4.81464976835393,1.47458277485268e-06,4.64566073872998e-06,"ZNF227","7770","zinc finger protein 227"
"ENSG00000184831",71.437813679379,-1.03456835462903,0.214961721366648,-4.81280270762448,1.48828197969797e-06,4.68781787065369e-06,"APOO","79135","apolipoprotein O"
"ENSG00000164823",359.013105052865,0.520842368247886,0.108301487390779,4.80918942847531,1.51543546419443e-06,4.77232646822598e-06,"OSGIN2","734","oxidative stress induced growth inhibitor family member 2"
"ENSG00000173705",208.08885348024,-0.62802779342564,0.130607067264832,-4.80852840950931,1.5204542338247e-06,4.78710841660082e-06,"SUSD5","26032","sushi domain containing 5"
"ENSG00000174243",1499.33095385821,-0.278766070550093,0.0579867949945358,-4.80740607540668,1.52901214724203e-06,4.81302456771744e-06,"DDX23","9416","DEAD-box helicase 23"
"ENSG00000121440",230.768649665112,-0.592528874996657,0.123272241641427,-4.80666910171229,1.5346568155451e-06,4.82976129564462e-06,"PDZRN3","23024","PDZ domain containing ring finger 3"
"ENSG00000181458",380.776995049562,-0.48948394814286,0.101851794390608,-4.80584511123742,1.5409916889809e-06,4.84854043999448e-06,"TMEM45A","55076","transmembrane protein 45A"
"ENSG00000171723",123.788239082132,-0.779274614566289,0.162152691961245,-4.80580744692502,1.54128185380473e-06,4.84854043999448e-06,"GPHN","10243","gephyrin"
"ENSG00000138614",366.752865378518,-0.477646940194148,0.0993938197027199,-4.80560000232165,1.54288094290351e-06,4.85253506967818e-06,"INTS14","81556","integrator complex subunit 14"
"ENSG00000104517",2816.18206976108,0.229482131529739,0.0477610263516833,4.80479899740786,1.54907048111607e-06,4.87096239613584e-06,"UBR5","51366","ubiquitin protein ligase E3 component n-recognin 5"
"ENSG00000255529",322.181423192256,-0.567920885149511,0.118209198580888,-4.80437133461229,1.55238489171682e-06,4.88034311734696e-06,"POLR2M","81488","RNA polymerase II subunit M"
"ENSG00000123106",294.642288118829,0.52947475048606,0.11020944450184,4.8042593162442,1.55325416643129e-06,4.88203452865523e-06,"CCDC91","55297","coiled-coil domain containing 91"
"ENSG00000166821",36.4387206247471,-1.48585686167845,0.30932112058329,-4.8036062292693,1.55833151702727e-06,4.89694880553262e-06,"PEX11A","8800","peroxisomal biogenesis factor 11 alpha"
"ENSG00000089009",9084.42260183497,-0.173132714665075,0.0360476897954074,-4.80287961996202,1.56399920939169e-06,4.91371143637067e-06,"RPL6","6128","ribosomal protein L6"
"ENSG00000106804",36.4072794726976,-1.49072745166779,0.310409009923235,-4.80246192607763,1.56726626658876e-06,4.92292630796786e-06,"C5","727","complement C5"
"ENSG00000153560",1997.06083066195,0.245100130916872,0.0510394465076624,4.80217062855641,1.56954857717584e-06,4.9290447326694e-06,"UBP1","7342","upstream binding protein 1"
"ENSG00000151322",7.3095690583722,6.23705942004225,1.29914600846965,4.80089180075248,1.57960602649467e-06,4.95957256465243e-06,"NPAS3","64067","neuronal PAS domain protein 3"
"ENSG00000113522",855.780994184913,0.330356209127059,0.0688237976444032,4.80002877542349,1.58642834357696e-06,4.97993203996534e-06,"RAD50","10111","RAD50 double strand break repair protein"
"ENSG00000110583",436.142005646479,0.440672524565863,0.0918318707125155,4.79868831100492,1.59708106909645e-06,5.01230425816513e-06,"NAA40","79829","N(alpha)-acetyltransferase 40, NatD catalytic subunit"
"ENSG00000235173",334.865163244662,-0.507534876352289,0.105768389696813,-4.79854971610279,1.59818640252003e-06,5.0147053864893e-06,"HGH1","51236","HGH1 homolog"
"ENSG00000146281",212.475205788128,-0.614992944856837,0.128164440719327,-4.7984678230964,1.5988398679296e-06,5.01568794668932e-06,"PM20D2","135293","peptidase M20 domain containing 2"
"ENSG00000083844",318.926410236559,0.550805049540679,0.114800026374403,4.79795229091944,1.60295945945888e-06,5.02754128825387e-06,"ZNF264","9422","zinc finger protein 264"
"ENSG00000159788",379.676350518101,0.469765500265321,0.0979115525233274,4.79785569893194,1.60373245527362e-06,5.02889551613246e-06,"RGS12","6002","regulator of G protein signaling 12"
"ENSG00000130204",1055.72993471532,-0.31842616701406,0.0663855838095583,-4.79661620401705,1.61368360601989e-06,5.0590233961968e-06,"TOMM40","10452","translocase of outer mitochondrial membrane 40"
"ENSG00000005339",1482.65534014971,-0.279787070057659,0.0583339371883013,-4.79630012208004,1.61623071768623e-06,5.0659311606252e-06,"CREBBP","1387","CREB binding protein"
"ENSG00000110756",485.785074558296,-0.445084154745199,0.0928006620513901,-4.79613124417933,1.61759318531112e-06,5.06912361580167e-06,"HPS5","11234","HPS5, biogenesis of lysosomal organelles complex 2 subunit 2"
"ENSG00000130312",359.708882722947,0.468639971378966,0.0977383586637359,4.79484183882502,1.62803226358583e-06,5.10075244488263e-06,"MRPL34","64981","mitochondrial ribosomal protein L34"
"ENSG00000118418",198.332356462407,-0.642731116379246,0.13409638342818,-4.79305332439098,1.64261941028182e-06,5.14536128984772e-06,"HMGN3","9324","high mobility group nucleosomal binding domain 3"
"ENSG00000132763",86.3312140700617,-0.934814703748039,0.195090121751305,-4.79170700882393,1.65368276959638e-06,5.17891556700201e-06,"MMACHC","25974","metabolism of cobalamin associated C"
"ENSG00000063978",1320.71242423127,0.281727132163997,0.0588132341322957,4.79019962633367,1.66615468232862e-06,5.21686588233677e-06,"RNF4","6047","ring finger protein 4"
"ENSG00000186297",22.4416524359002,-1.97287709475174,0.41189378518,-4.78977145501134,1.66971377895255e-06,5.22689925110509e-06,"GABRA5","2558","gamma-aminobutyric acid type A receptor alpha5 subunit"
"ENSG00000178177",187.979621545674,0.673046121190537,0.140533983408885,4.78920546379379,1.67442969381308e-06,5.23993480935747e-06,"LCORL","254251","ligand dependent nuclear receptor corepressor like"
"ENSG00000177606",2391.1282533282,-0.334258633679813,0.069794451068485,-4.789186368868,1.67458901832499e-06,5.23993480935747e-06,"JUN","3725","Jun proto-oncogene, AP-1 transcription factor subunit"
"ENSG00000163961",436.8997403992,0.429307572502899,0.0896975722483961,4.78616713631929,1.69996506955326e-06,5.31820955106685e-06,"RNF168","165918","ring finger protein 168"
"ENSG00000160216",2333.93089988629,0.232446858133824,0.0485749190807403,4.78532671866021,1.70709411056849e-06,5.33937882036469e-06,"AGPAT3","56894","1-acylglycerol-3-phosphate O-acyltransferase 3"
"ENSG00000186017",108.935698849966,0.899002612229656,0.187922362916917,4.78390436494839,1.71922507408421e-06,5.37618059449462e-06,"ZNF566","84924","zinc finger protein 566"
"ENSG00000109911",79.6167755146198,-0.98190476597528,0.205262471398023,-4.78365460226421,1.72136378252197e-06,5.38172664972611e-06,"ELP4","26610","elongator acetyltransferase complex subunit 4"
"ENSG00000215788",53.392055126377,1.21642916910152,0.254308220318366,4.78328686181945,1.72451738455999e-06,5.39044267521637e-06,"TNFRSF25","8718","TNF receptor superfamily member 25"
"ENSG00000100065",348.35158388537,-0.508794159767372,0.10639787317003,-4.78199558514003,1.73563491956081e-06,5.42404313920426e-06,"CARD10","29775","caspase recruitment domain family member 10"
"ENSG00000172765",273.007007910043,0.547380448117171,0.114488126572092,4.78111105934195,1.74329015842552e-06,5.44681160798715e-06,"TMCC1","23023","transmembrane and coiled-coil domain family 1"
"ENSG00000141034",331.352312527952,0.517308648647829,0.10822961382586,4.77973292485521,1.75528209517965e-06,5.48311732063538e-06,"GID4","79018","GID complex subunit 4 homolog"
"ENSG00000112561",75.5889351965136,-0.988431619766561,0.206852489308559,-4.77843715137569,1.76662964256045e-06,5.51739514135535e-06,"TFEB","7942","transcription factor EB"
"ENSG00000137055",1040.79487262614,0.318147830509233,0.0665929345008797,4.77750129039636,1.77486911835035e-06,5.5419536157304e-06,"PLAA","9373","phospholipase A2 activating protein"
"ENSG00000276600",145.169685971079,-0.763512293102053,0.159840227068223,-4.7767217746517,1.78176028274433e-06,5.56229253274431e-06,"RAB7B","338382","RAB7B, member RAS oncogene family"
"ENSG00000144747",1231.62435754154,0.281241584287164,0.0588803008446727,4.77649706697464,1.78375153862831e-06,5.56633796323988e-06,"TMF1","7110","TATA element modulatory factor 1"
"ENSG00000179021",263.042476370565,-0.537990284219334,0.112632969025784,-4.77649030184205,1.78381152126353e-06,5.56633796323988e-06,"C3orf38","285237","chromosome 3 open reading frame 38"
"ENSG00000154027",1350.71557437187,0.284124186439423,0.0595348183281858,4.77240368607807,1.82040168699628e-06,5.67931415388468e-06,"AK5","26289","adenylate kinase 5"
"ENSG00000130414",1071.02879429704,-0.329766790193157,0.0691148909627675,-4.77128424279514,1.83054996893978e-06,5.70976623116072e-06,"NDUFA10","4705","NADH:ubiquinone oxidoreductase subunit A10"
"ENSG00000173715",79.861525234657,-0.981408262999733,0.205697437002784,-4.77112538347501,1.83199450079913e-06,5.71306283385053e-06,"C11orf80","79703","chromosome 11 open reading frame 80"
"ENSG00000177432",222.823146587073,-0.586140431894551,0.122875957055325,-4.77017999241821,1.84061376620026e-06,5.73872766792035e-06,"NAP1L5","266812","nucleosome assembly protein 1 like 5"
"ENSG00000116183",15.6925593685169,-2.6088366857597,0.546969415246375,-4.76962077410597,1.84573056656151e-06,5.75346385151935e-06,"PAPPA2","60676","pappalysin 2"
"ENSG00000204310",1198.47408526759,0.283914857665632,0.0595319130736854,4.76912034246603,1.85032105943442e-06,5.76655355761144e-06,"AGPAT1","10554","1-acylglycerol-3-phosphate O-acyltransferase 1"
"ENSG00000081019",278.343739141751,0.533562012150327,0.111904015983922,4.76803274180068,1.86033555102681e-06,5.79653812918248e-06,"RSBN1","54665","round spermatid basic protein 1"
"ENSG00000132953",641.978819512623,-0.369829355318391,0.0775659133869571,-4.76793657380664,1.86122355566414e-06,5.79807921441093e-06,"XPO4","64328","exportin 4"
"ENSG00000112699",199.624327673351,-0.621751097046286,0.130443559786023,-4.76643766902863,1.8751170320788e-06,5.8401257013477e-06,"GMDS","2762","GDP-mannose 4,6-dehydratase"
"ENSG00000108256",2138.46646827234,0.269500685415462,0.0565472593687134,4.76593717227208,1.87977833034358e-06,5.85340651438913e-06,"NUFIP2","57532","nuclear FMR1 interacting protein 2"
"ENSG00000179409",430.436069034688,-0.456733752247587,0.0958380678367278,-4.76568197332286,1.88215936941534e-06,5.85958276012744e-06,"GEMIN4","50628","gem nuclear organelle associated protein 4"
"ENSG00000116698",1315.19391808134,-0.298380913600294,0.0626356904501008,-4.76375228653384,1.90025762600631e-06,5.91467727393474e-06,"SMG7","9887","SMG7, nonsense mediated mRNA decay factor"
"ENSG00000234745",3315.27690273071,0.225964897950074,0.0474371226178322,4.76346130372442,1.90300117776932e-06,5.92196608065125e-06,"HLA-B","3106","major histocompatibility complex, class I, B"
"ENSG00000198001",311.78795187298,-0.505842389297642,0.106204070429002,-4.76292845701991,1.90803502839263e-06,5.93637750653379e-06,"IRAK4","51135","interleukin 1 receptor associated kinase 4"
"ENSG00000272391",686.530071234009,-0.361311877543765,0.0758856024304458,-4.76127046464356,1.9237801961545e-06,5.98410142062579e-06,"POM121C","100101267","POM121 transmembrane nucleoporin C"
"ENSG00000084090",2333.05832464298,0.236413685196447,0.049655137879306,4.76111224927186,1.92528919980208e-06,5.98753159457334e-06,"STARD7","56910","StAR related lipid transfer domain containing 7"
"ENSG00000124212",35.6452157145129,-1.54689248172347,0.324951803332524,-4.7603751259707,1.93233463112063e-06,6.00817463996958e-06,"PTGIS","5740","prostaglandin I2 synthase"
"ENSG00000231925",3150.62386739265,0.220602593540648,0.0463425575515568,4.76025936408937,1.93344333220516e-06,6.01035389792019e-06,"TAPBP","6892","TAP binding protein"
"ENSG00000149657",542.303872065486,-0.400708345091684,0.0842016880295755,-4.75891106780349,1.94640163748008e-06,6.04936046671899e-06,"LSM14B","149986","LSM family member 14B"
"ENSG00000101639",343.572090447493,-0.476328522194369,0.100101974589321,-4.7584328296076,1.95101793832306e-06,6.06242934324378e-06,"CEP192","55125","centrosomal protein 192"
"ENSG00000185338",58.6366000448917,-1.26579511647081,0.266021784917029,-4.75823856630993,1.9528961105731e-06,6.06698627268684e-06,"SOCS1","8651","suppressor of cytokine signaling 1"
"ENSG00000111678",282.774640379103,0.529793094274131,0.111365607475581,4.75724154237023,1.96256288212596e-06,6.09573272007848e-06,"C12orf57","113246","chromosome 12 open reading frame 57"
"ENSG00000106330",234.968062177631,0.572922388015418,0.120436543854282,4.75704773385565,1.96444730581635e-06,6.1003001249729e-06,"MOSPD3","64598","motile sperm domain containing 3"
"ENSG00000168291",836.437125422147,-0.334153325678394,0.0702546987329553,-4.75631284034883,1.97160856863087e-06,6.12124859584616e-06,"PDHB","5162","pyruvate dehydrogenase E1 beta subunit"
"ENSG00000167740",233.334483834497,0.587912639180763,0.123608412592738,4.75625102571136,1.97221207131262e-06,6.1218326678613e-06,"CYB5D2","124936","cytochrome b5 domain containing 2"
"ENSG00000116212",509.787045147747,-0.411715136122717,0.0865799832282844,-4.75531549870081,1.98136741313143e-06,6.1489561875618e-06,"LRRC42","115353","leucine rich repeat containing 42"
"ENSG00000122779",365.374387593538,0.467349787982414,0.098337784917605,4.75249456121059,2.00922176243929e-06,6.23408638628005e-06,"TRIM24","8805","tripartite motif containing 24"
"ENSG00000079156",271.945278050366,0.564998407468229,0.118938418310046,4.75034404775252,2.03070853015876e-06,6.29942797673748e-06,"OSBPL6","114880","oxysterol binding protein like 6"
"ENSG00000187514",7776.34991314127,0.217906439936553,0.0459081907986713,4.7465699724952,2.06895171586198e-06,6.41671094031436e-06,"PTMA","5757","prothymosin alpha"
"ENSG00000143222",879.359535202374,0.325684399217344,0.0686195398671842,4.74623408795393,2.07238860033647e-06,6.42601792378686e-06,"UFC1","51506","ubiquitin-fold modifier conjugating enzyme 1"
"ENSG00000064042",59.1291723621511,1.17786038228428,0.248263632225011,4.74439357761728,2.09131889340323e-06,6.48335251387816e-06,"LIMCH1","22998","LIM and calponin homology domains 1"
